Bassett,,507
Bland,,786
Burke,,1260
Carroll,,1538
Clymer,,1859
Contee,,2010
Dalton,,2307
Elmer,,2943
Few,,3128
Floyd,,3237
Gale,,3430
Grayson,,3771
Grout,,3857
Hawkins,,4212
Huntington,,4766
Izard,,4837
Johnson,,4998
Johnston,,5012
Lee,,5565
Maclay,,5891
Mathews,,6071
Morris,,6712
Partridge,,7224
Paterson,,7231
Smith,,8693
Stone,,8983
Van Rensselaer,,9629
Wynkoop,,10405
Dickinson,,2576
Walker,,9747
Ashe,,259
Barnwell,,456
Burr,,1302
Cabot,,1384
Carroll,,1536
Ellsworth,,2936
Gerry,,3541
Huger,,4695
Jacobs,,4871
Key,,5224
Read,,7762
Robinson,,7989
Schoonmaker,,8272
Seney,,8363
Sheredine,,8449
Sherman,,8457
Silvester,,8511
Steele,,8869
Sterett,,8896
Sturges,,9062
Tucker,,9501
Wayne,,9885
White,,10006
Williamson,,10193
Willis,,10202
Edwards,,2866
Potts,,7564
Armstrong,,231
Beatty,,554
Boudinot,,878
Bourne,,886
Bradford,,951
Cadwalader,,1387
Carnes,,1518
Clark,,1750
Cobb,,1865
Coffin,,1906
Dawson,,2432
Edwards,,2859
Fitzsimons,,3196
Forrest,,3285
Frelinghuysen,,3361
Gillon,,3607
Gordon,,3695
Griffin,,3825
Holten,,4546
Irvine,,4820
Learned,,5543
Lee,,5564
Martin,,6012
McDowell,,6230
Mebane,,6401
Mercer,,6418
Mitchell,,6574
Montgomery,,6608
Neville,,6883
Niles,,6932
Pickens,,7425
Scott,,8312
Strong,,9028
Talbot,,9161
Tredwell,,9463
Van Gaasbeck,,9615
Vining,,9676
Wadsworth,,9706
Walker,,9739
Ward,,9808
Watts,,9881
Williams,,10136
Wingate,,10272
Tazewell,,9238
Walton,,9796
Ames,,154
Bingham,,719
Bloodworth,,800
Bourne,,884
Buck,,1195
Coles,,1936
Crabb,,2125
Dearborn,,2451
Duvall,,2796
Earle,,2816
Gilbert,,3573
Greenup,,3798
Gunn,,3877
Hancock,,4026
Hathorn,,4193
Heath,,4269
Henderson,,4315
Henry,,4333
Langdon,,5449
Leonard,,5611
Lyman,,5852
Marshall,,6000
Muhlenberg,,6781
Murray,,6830
Orr,,7084
Page,,7156
Paine,,7164
Patten,,7235
Preston,,7603
Read,,7763
Richards,,7870
Rutherford,,8148
Sherburne,,8448
Smith,,8637
Sprigg,,8811
Strudwick,,9048
Swift,,9127
Tatom,,9187
Trumbull,,9489
White,,
Blount,,806
Goodhue,,3674
Howard,,4628
Hunter,,4753
Laurance,,5498
Tattnall,,9189
Allen,,112
Benton,,656
Bradbury,,947
Brooks,,1072
Bryan,,1176
Bullock,,1232
Burges,,1255
Chapman,,1655
Chipman,,1706
Cochran,,1881
Coit,,1914
Davenport,,2355
Ege,,2881
Foster,,3315
Freeman,,3358
Harrison,,4127
Hosmer,,4593
Latimer,,5494
Lloyd,,5725
Locke,,5734
Machir,,5879
Mason,,6063
Matthews,,6087
McClenachan,,6155
McDowell,,6229
Morgan,,6674
Parker,,7192
Ross,,8070
Rutherfurd,,8150
Schuyler,,8282
Sinnickson,,8544
Sitgreaves,,8555
Smith,,8644
Smith,,8671
Smith,,8695
Smith,,8702
Sprague,,8802
Swanwick,,9107
Thomson,,9353
Van Alen,,9591
Williams,,10159
Clayton,,1823
Hobart,,4469
North,,6963
Watson,,9874
Bartlett,,484
Brace,,943
Brown,,1116
Brown,,1118
Christie,,1716
Cocke,,1888
Cooper,,2058
Craik,,2139
Davenport,,2351
Dayton,,2440
Dent,,2512
Dexter,,2550
Dickson,,2581
Edmond,,2852
Eggleston,,2883
Evans,,3021
Freeman,,3357
Gallatin,,3437
Glen,,3628
Goode,,3668
Goodrich,,3679
Gordon,,3701
Greene,,3791
Hartley,,4156
Havens,,4204
Imlay,,4800
Jones,,5038
Kittera,,5310
Lee,,5559
Linn,,5687
Livermore,,5713
Lyman,,5850
Marshall,,6003
McMillan,,
Nicholas,,6911
Nott,,6979
Page,,7159
Parker,,7199
Pinckney,,7458
Platt,,7481
Powell,,7573
Reed,,7788
Sedgwick,,8344
Sewall,,8376
Spaight,,8756
Thatcher,,9268
Thomas,,9299
Thomas,,9308
Waln,,9779
Foster,,3303
Hindman,,4441
Morris,,6703
Bacon,,325
Bird,,722
Boude,,877
Breckinridge,,994
Cabell,,1380
Colhoun,,1939
Davis,,2413
Ellery,,2903
Elmendorf,,2941
Fearing,,
Foster,,3299
Greene,,
Grove,,3859
Henderson,,4303
Hill,,4426
Hunter,,
Jackson,,4850
Jackson,,4854
Johnson,,4946
Jones,,5066
Lee,,5568
Lincoln,,5668
Logan,,5744
Mattoon,,6089
Morris,,6710
Morris,,6715
Muhlenberg,,6784
Ogden,,7029
Olcott,,7048
Peirce,,7308
Perkins,,7344
Read,,7764
Rutledge,,8153
Sheafe,,8423
Shepard,,8440
Smith,,8662
Sprigg,,8810
Stratton,,9014
Taliaferro,,9165
Tillinghast,,9385
Tracy,,9452
Upham,,9567
Van Ness,,9625
Walker,,9735
Williams,,10176
Woods,,10352
Butler,,1346
Clinton,,1847
Plumer,,7493
Bailey,,351
Baldwin,,392
Bowie,,911
Bruce,,1156
Claiborne,,1739
Cutler,,2287
Dennis,,2501
Dwight,,2801
Earle,,2814
Gillespie,,3594
Griffin,,3826
Griswold,,3840
Hammond,,4012
Hampton,,4019
Hiester,,4390
Hoge,,4498
Hunt,,4748
Larned,,5477
Lewis,,5649
Lowndes,,5814
Maclay,,5890
McCord,,6172
Mitchell,,6571
Mott,,6760
Palmer,,7173
Paterson,,7230
Phelps,,7403
Plater,,7478
Potter,,7559
Purviance,,7658
Skinner,,8563
Smith,,8639
Smith,,8645
Stewart,,8938
Thatcher,,9271
Tibbits,,9376
Trigg,,9470
Van Horne,,9621
Venable,,9658
White,,10043
Williams,,10169
Armstrong,,233
Howland,,4656
Moore,,6625
Alexander,,80
Anderson,,169
Archer,,222
Baldwin,,379
Bedinger,,571
Betton,,679
Bishop,,733
Bryan,,1174
Casey,,1575
Clark,,1756
Conrad,,2005
Covington,,2099
Dickson,,2583
Dwight,,2800
Early,,2819
Ellis,,2919
Elmer,,2942
Fenner,,3104
Fowler,,3324
Goddard,,3639
Griswold,,3846
Halsey,,3972
Hamilton,,3992
Hanna,,4037
Hastings,,4181
Hough,,4600
Kitchell,,5303
Livingston,,5716
Lower,,5812
Lucas,,5822
Magruder,,5917
McFarlan,,6241
Mead,,6393
Meriwether,,6422
Nicholson,,6925
Olin,,7055
Randolph,,7727
Sailly,,8175
Sandford,,8203
Schuneman,,8277
Smith,,8608
Smith,,8651
Smith,,8673
Spalding,,8761
Stanton,,8845
Sumter,,9088
Tenney,,9257
Thompson,,9335
Thruston,,9366
Tompkins,,
Wadsworth,,9707
Walton,,9798
Whitehill,,10054
