last_name,first_name,birthday,gender,type,state,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Bassett,Richard,1745-04-02,M,sen,DE,Anti-Administration,,,,,,,,,,,B000226,,,,,401222,,,,507,
Bland,Theodorick,1742-03-21,,rep,VA,,,,,,,,,,,,B000546,,,,,401521,,,,786,
Burke,Aedanus,1743-06-16,,rep,SC,,,,,,,,,,,,B001086,,,,,402032,,,,1260,Aedanus Burke
Carroll,Daniel,1730-07-22,M,rep,MD,,,,,,,,,,,,C000187,,,,,402334,,,,1538,Daniel Carroll
Clymer,George,1739-03-16,M,rep,PA,,,,,,,,,,,,C000538,,,,,402671,,,,1859,George Clymer
Contee,Benjamin,,M,rep,MD,,,,,,,,,,,,C000710,,,,,402834,,,,2010,Benjamin Contee
Dalton,Tristram,1738-05-28,,sen,MA,Pro-Administration,,,,,,,,,,,D000013,,,,,403156,,,,2307,Tristram Dalton
Elmer,Jonathan,1745-11-29,M,sen,NJ,Pro-Administration,,,,,,,,,,,E000155,,,,,403846,,,,2943,Jonathan Elmer
Few,William,1748-06-08,M,sen,GA,Anti-Administration,,,,,,,,,,,F000100,,,,,404057,,,,3128,William Few
Floyd,William,1734-12-17,M,rep,NY,,,,,,,,,,,,F000224,,,,,404179,,,,3237,William Floyd
Gale,George,1756-06-03,M,rep,MD,,,,,,,,,,,,G000012,,,,,404389,,,,3430,George Gale (congressman)
Grayson,William,,M,sen,VA,Anti-Administration,,,,,,,,,,,G000403,,,,,404753,,,,3771,William Grayson
Grout,Jonathan,1737-07-23,M,rep,MA,,,,,,,,,,,,G000500,,,,,404845,,,,3857,
Hawkins,Benjamin,1754-08-15,M,sen,NC,Pro-Administration,,,,,,,,,,,H000368,,,,,405237,,,,4212,Benjamin Hawkins
Huntington,Benjamin,1736-04-19,M,rep,CT,,,,,,,,,,,,H000995,,,,,405835,,,,4766,
